,Product Name,Discount Price,Real Price,Discount,Sold
0,KiiP Mini Power Bank Fast Charging PD 20W 2in1 Phone Holder 4800mAh,Rp259.000,Rp859.000,70%,
1,KiiP Wireless EW56 Power Bank Magnetic Magsafe Phone Holder 20W Fast,Rp489.000,Rp499.000,2%,
2,KiiP Wireless EW55 Power Bank Magnetic Magsafe 20W Fast Charging Typec,Rp489.000,Rp1.499.000,67%,
3,KiiP E48 Power Bank Fast Charging 20W Quick Charge Type C,Rp219.000,Rp599.000,63%,
4,sisir rambut anti rontok / portable / Pijat kulit kepala / Sisir profe,Rp29.000,Rp69.000,58%,1 terjual
5,Roll Rambut Keriting Gulungan Rambut Poni Hair Curler 1 pcs,Rp18.000,Rp30.000,40%,
6,Roll Rambut Gulung Tempel Poni / Roll Poni Keriting Gelombang / Roll,Rp24.000,Rp50.000,52%,
7,Roll Rambut Jepit Untuk Poni / Hair Root Clip Curler Menambah Volume,Rp18.000,Rp30.000,40%,1 terjual
8,Transformers Kabel Data Fast Charging USB To Type-C Lightning 3in1 25w,Rp42.000,Rp69.000,39%,
9,Transformers T01 True Wireless Bluetooth Earphone TWS V5.3 Noise,Rp229.000,Rp489.000,53%,
10,KiiP Wireless DTS15 Bluetooth Earphone Headphone Headset Earbuds TWS,Rp269.000,Rp729.000,63%,
11,Livchic Rambut Catokan LS310-4IN mini portable 2in1 lurus Ragum Cutee ,Rp199.000,Rp399.000,50%,
12,Monster XKT13 Wireless Bluetooth Earphone Headphone Headset Earbuds,Rp179.000,Rp399.000,55%,
13,Transformers X06 Foldable Phone Stand Holder Dudukan HP Table,Rp36.000,Rp119.000,70%,
14,Hyundai Catokan Rambut Pelurus Rambut Mini 2 in 1 HD180 Hair Straigh,Rp69.000,Rp169.000,59%,1 terjual
15,Philips 2708 Bluetooth Earphone Headphone Headset Earbuds TWS,Rp229.000,Rp599.000,62%,
16,Philips 3708 Earphone Bluetooth True Wireless TWS Bluetooth IPX,Rp279.000,Rp599.000,53%,2 terjual
17,Philips 1708 Bluetooth Earphone Headphone Headset Earbuds TWS V5.3,Rp229.000,Rp499.000,54%,1 terjual
18,Disney QS13 True Wireless TWS Earphone Mini Headset Bluetooth Earbuds,Rp109.000,Rp259.000,58%,1 terjual
19,Disney QS15 True Wireless TWS Earphone Mini Headset Bluetooth 5.3 ,Rp69.000,Rp169.000,59%,1 terjual
20,KiiP Wireless Y8 Bluetooth Portable Karaoke Wireless Speaker With Mic,Rp165.000,Rp499.000,67%,6 terjual
21,Transformers T05 True Wireless Bluetooth Headset Headphone Earphone,Rp129.000,Rp299.000,57%,3 terjual
